algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,mr - Picture,mr,9970564,3548384,0.06579597100017054,0.026404785000067932,2.809888670448294
gzip,mr - Picture,mr,9970564,3690572,0.5593593779999537,0.08109399199975087,2.701631075074541
xz,mr - Picture,mr,9970564,2750228,3.9963316580001447,0.18395648300020184,3.6253590611396582
