algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,"mozilla, ooffice - Exe",mozilla,51220480,18504727,0.2554104800001369,0.06703296099976797,2.767967341533869
gzip,"mozilla, ooffice - Exe",mozilla,51220480,19048745,2.350841617000242,0.38260705700031394,2.6889162514380867
xz,"mozilla, ooffice - Exe",mozilla,51220480,13503600,18.907321927999874,0.9199577710000995,3.7930981367931516
zstd,"mozilla, ooffice - Exe",ooffice,6152192,3143608,0.058621212000161904,0.022670127000310458,1.9570480797860292
gzip,"mozilla, ooffice - Exe",ooffice,6152192,3097081,0.3772738819998267,0.05728245099999185,1.9864485300836496
xz,"mozilla, ooffice - Exe",ooffice,6152192,2426816,2.2451624909999737,0.15962009999975635,2.5350879506316093
