algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,Silesia - Complete Dataset,samba,21606400,4978925,0.12320229899978585,0.025940510000054928,4.339571292999995
gzip,Silesia - Complete Dataset,samba,21606400,5460537,0.6181273460001648,0.16446631899998465,3.9568269567626775
xz,Silesia - Complete Dataset,samba,21606400,3787400,5.994010591999995,0.259277222000037,5.704810688070972
zstd,Silesia - Complete Dataset,reymont,6627202,1942008,0.04508706200022061,0.012786262000190618,3.412551338614465
gzip,Silesia - Complete Dataset,reymont,6627202,1858629,0.41568600200025685,0.060927582000203984,3.5656400497355847
xz,Silesia - Complete Dataset,reymont,6627202,1317152,3.545243950999975,0.0719535690000157,5.031463339083112
zstd,Silesia - Complete Dataset,sao,7251944,5551158,0.08264152699985061,0.01817337399961616,1.306384001320085
gzip,Silesia - Complete Dataset,sao,7251944,5332826,0.5096422470001016,0.08643778300029226,1.3598688575250721
xz,Silesia - Complete Dataset,sao,7251944,4415072,2.9872757560001446,0.3431241019998197,1.6425426357712853
zstd,Silesia - Complete Dataset,dickens,10192446,3669252,0.10582368500035955,0.030938220999814803,2.7777993988965597
gzip,Silesia - Complete Dataset,dickens,10192446,3868778,0.7295989460003511,0.10031909899998936,2.6345388647267947
xz,Silesia - Complete Dataset,dickens,10192446,2831676,6.572611745999893,0.19381234999991648,3.5994393426366575
zstd,Silesia - Complete Dataset,ooffice,6152192,3143608,0.063477611000053,0.02081970899962471,1.9570480797860292
gzip,Silesia - Complete Dataset,ooffice,6152192,3097081,0.3691433240001061,0.05650017800007845,1.9864485300836496
xz,Silesia - Complete Dataset,ooffice,6152192,2426816,2.4186354999997093,0.1612818660000812,2.5350879506316093
zstd,Silesia - Complete Dataset,osdb,10085684,3506596,0.07596644500017646,0.026035262000277726,2.8762035888936164
gzip,Silesia - Complete Dataset,osdb,10085684,3739578,0.41023609100011527,0.07133580499976233,2.6970112670467095
xz,Silesia - Complete Dataset,osdb,10085684,2850104,4.054584517999956,0.17849151599966717,3.538707359450743
zstd,Silesia - Complete Dataset,mozilla,51220480,18504727,0.23140547599996353,0.06644108899990897,2.767967341533869
gzip,Silesia - Complete Dataset,mozilla,51220480,19048745,2.319691378999778,0.3916299910001726,2.6889162514380867
xz,Silesia - Complete Dataset,mozilla,51220480,13503600,19.45981402999996,0.9357243689996722,3.7930981367931516
zstd,Silesia - Complete Dataset,x-ray,8474240,6086279,0.1067873850001888,0.022145590000036464,1.3923515501014658
gzip,Silesia - Complete Dataset,x-ray,8474240,6037794,0.4314668669999264,0.13238270900001226,1.4035324822277806
xz,Silesia - Complete Dataset,x-ray,8474240,4489912,3.5815371919998142,0.3444669669997893,1.8873955658819148
zstd,Silesia - Complete Dataset,nci,33553445,2844574,0.11204683599999044,0.046589275000314956,11.795595755287083
gzip,Silesia - Complete Dataset,nci,33553445,3199453,0.5312820889998875,0.16057115700004942,10.48724422580985
xz,Silesia - Complete Dataset,nci,33553445,1779272,8.39246621500024,0.13318926200008718,18.857962694854976
zstd,Silesia - Complete Dataset,webster,41458703,12133015,0.2725896069996452,0.07427042999961486,3.4170157211542227
gzip,Silesia - Complete Dataset,webster,41458703,12201980,1.746876778999649,0.271906148999733,3.3977029137894013
xz,Silesia - Complete Dataset,webster,41458703,8628848,23.992526216999977,0.47911573100009264,4.804662569093812
zstd,Silesia - Complete Dataset,mr,9970564,3548384,0.10739501699981702,0.02432648000012705,2.809888670448294
gzip,Silesia - Complete Dataset,mr,9970564,3690572,0.6008455460000732,0.07746488499969928,2.701631075074541
xz,Silesia - Complete Dataset,mr,9970564,2750228,4.029943609999918,0.2328295409997736,3.6253590611396582
zstd,Silesia - Complete Dataset,xml,5345280,639138,0.0329990270001872,0.012481653000122606,8.363264271565765
gzip,Silesia - Complete Dataset,xml,5345280,691992,0.1374491329997909,0.03220672099996591,7.724482363957965
xz,Silesia - Complete Dataset,xml,5345280,453260,1.0638671169999725,0.04837868899994646,11.792966509288267
