algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,samba - src code,samba,21606400,4978925,0.09486753100009082,0.028368815000249015,4.339571292999995
gzip,samba - src code,samba,21606400,5460537,0.6276371849999123,0.14326132099995448,3.9568269567626775
xz,samba - src code,samba,21606400,3787400,6.064287043999684,0.29808004899996376,5.704810688070972
