algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,sao - binary data,sao,7251944,5551158,0.1046365090001018,0.018995936999999685,1.306384001320085
gzip,sao - binary data,sao,7251944,5332826,0.520157516999916,0.08696445700024924,1.3598688575250721
xz,sao - binary data,sao,7251944,4415072,3.0022577710001315,0.3408263750002334,1.6425426357712853
