algorithm,group_name,file_name,original_size,compressed_size,compression_time,decompression_time,compression_ratio
zstd,"nci, osdb - Database",nci,33553445,2844574,0.08150247399998989,0.031973597000160225,11.795595755287083
gzip,"nci, osdb - Database",nci,33553445,3199453,0.49453287200003615,0.131671304000065,10.48724422580985
xz,"nci, osdb - Database",nci,33553445,1779272,8.644571038000322,0.14619596900001852,18.857962694854976
zstd,"nci, osdb - Database",osdb,10085684,3506596,0.07029842400015696,0.015151437999975315,2.8762035888936164
gzip,"nci, osdb - Database",osdb,10085684,3739578,0.3762059760001648,0.08102131499981624,2.6970112670467095
xz,"nci, osdb - Database",osdb,10085684,2850104,4.158532012000251,0.19803980100004992,3.538707359450743
